작성자,댓글,화수,날짜,좋아요 수,연관 댓글 수
200캐시뽑기권,"<추공납치위원회에 가입하였습니다.>
'겨우 가입했다.'
독자가 입구를 넘어서니 기계음이 들려왔다.
<퀘스트가 도착하였습니다.>
<특별 퀘스트 : 추공의 연중을 막아라!>
연중성 최상층에는 프로연중러들의 군주인 '추공'이 있다. 추공을 납치하고 그의 비축분을 거두십시오.
보상
1- S급 추공
2- 보너스 연참 +30
3- 알려지지.않은 그의 사생활(?)",나 혼자만 레벨업 99화,16.10.17,"1,946",85
메이커그린,"독자들은 숨도 제대로 내쉬지 못하며 추공을 주시했다.
"".......""
"".......""
추공이 멈춰서자 독자들도 걸음을 멈추었다.
그리고.....
추공을 바라보던 독자가 무릎을 꿇는 순간, 뒤의 독자들도 동시에 무릎을 꿇었다.
가장 앞에서 무릎을 꿇은 동자가 고개를 들면서 말했다.
[추공님, 연참 다시 부탁드립니다.]",나 혼자만 레벨업 226화,17.06.16,"1,937",38
hun,아닌데요 다 잡을건데요 경험치는 제 껀데요 빼애애애액,나 혼자만 레벨업 137화,17.01.06,"1,933",117
200캐시뽑기권,"그는 빠르게 나혼렙을 정독한 뒤, 후다닥 글을 작성했다
그때.
""뭘 그렇게 급하게 써?""
""헉! 추공님!""
추공이 그가 쓰고 있던 모니터를 들여다보았다.
""..너였냐""
요즘 나혼렙이 뜨면 어김없이 달려와 글올리는 사람이 있다더니만
추공은 피식 웃음이 난 나머지 좋아요를 눌렀다
좋아요를 만족의 뜻으로 받아들인 그는 앞으로도 더욱 활발한 활동을 하기로 다짐했다",나 혼자만 레벨업 128화,16.12.02,"1,922",57
황태윤,zzzzzzzzzzz옥땅으로 따라와 용대가리야!,나 혼자만 레벨업 240화,17.07.21,"1,918",89
추공,오늘은 제가 상태가 안 좋아서... 연참은 가까운 시일 내에 하겠습니다. (도주),나 혼자만 레벨업 100화,16.10.18,"1,918",121
선량한시민,"양팔이 자유롭게된 강태식이 마구잡이로 공격을 퍼붓기 시작했다.
 하지만 진우도 강태식 못지않은 속도로 반격하기 시작했다.

강태식 : 오라오라오라오라오라오라!!!!
진우 : 무다무다무다무다무다무다!!!!

주희 : (죠죠러들이란....)",나 혼자만 레벨업 31화,16.09.11,"1,917",127
추공,개인 사정이라는 게 다른 게 아닙니다 여러분! 좀 더 멋진 장면을 위해 하루 정도 더 고민해보고 싶어서 연재일을 토욜로 미룬 겁니다 ㅠㅠ 아프거나 놀러다니는 거 아니니 걱정 안 하셔도 됩니다!! 저 요즘 컨디션 좋답니다!,나 혼자만 레벨업 189화,17.03.30,"1,916",175
이샤르가스,이게무슨일이오 선생 추공이일찍올리다니 이게말이돼오,나 혼자만 레벨업 124화,16.11.25,"1,914",25
이그니스,"고건희가 사망한 것에 대해선
안타깝게 생각하겠지만
이제 '장군'급이 또 나오려나?",나 혼자만 레벨업 201화,17.04.26,"1,909",102
쿨럭..쿨럭..,"-재각성이후 플레이어의 특성과 행동패턴을분석해 
가장 적합한 직업을 탐색합니다-

-관심이성 접근 차단 1회
관심이성 고향돌려보내기 1회
이성과의 식사약속캔슬 2회 
또다른이성의 문자씹기 수십회를 
단기간에 성공하셨습니다.

-쉽게 이룩할 수 없는 업적을
달성함으로 인해 
전직포인트에 가중치가 부여됩니다.-

""마법사로 전직하셨습니다""

진우: 읭!?",나 혼자만 레벨업 46화,16.10.25,"1,907",78
추공,담당자 분은 제가 글쓰는데 가장 큰 도움을 주시는 분입니다. 오늘 마감 후 담당자 분의 조언을 듣고 수정하다보니 예상보다 시간이 늦어졌습니다. 죄송합니다. 하지만! 제가 글쓰는 속도가 1편 1.5일에서 1일로 빨라졌기 때문에 이번 주말 비축분을 쌓고 나면 이런 문제가 없어질 겁니다!! 딱 요번주만 참아주십시오. 감사합니다!!,나 혼자만 레벨업 114화,16.11.09,"1,894",62
루은,"아 작가님ㅜ
할부지 죽이지 말아주셔요ㅜㅜ
저렇게 행복해하시고 가끔 귀엽(?)기도 하신분인데ㅔㅜㅜ",나 혼자만 레벨업 199화,17.04.21,"1,885",36
후공죽고남은그림자,이나라에서 유일하게 허용된 마약은 이게 아닐까요??,나 혼자만 레벨업 227화,17.06.19,"1,882",67
IH,네 아저씨도 붙여드릴가요?,나 혼자만 레벨업 29화,16.07.26,"1,877",99
600캐시뽑기권,"""지금 즉시 전국의 모든 나혼업 독자들을 카카오페이지로 호출해 주십시오. 읽을 수 있는 사람은 단 한 사람도 빠뜨리지 말고 전부.""
빨리 올린 추공의 지시 아래.
대한민국의 모든 나혼업 독자들이 209화를 향해 움직이기 시작했다.",나 혼자만 레벨업 209화,17.05.12,"1,870",78
붉은눈,와 네크로 낚시질을 ㅋㅋㅋㅋㅋ 사신도 네크도 아니였다니!!!!! ㅋㅋ 반전에 반전,나 혼자만 레벨업 52화,16.08.06,"1,866",40
200캐시뽑기권,"""비축분.""
""네?""
""뱉어봐.""
""...""
'하긴 추공이 비축분이 있을리가 없지.'
어쩌면 추공을 잡았을 때 비축분이 떨어질지도 모르는 일이니까.
그런데.
""드..드릴게요.""
""뭐를?""
""비축분.""
그건 좀 솔깃했다.
한데
'문제는 추공을 신뢰할 수 있냐는 거지.'
살기.
""내일 연참해봐.""
""진정한 의미의 연참은 끊기지 않는 연재죠.""
""...""",나 혼자만 레벨업 101화,16.10.19,"1,863",73
코라,"수호: 개미는 엄청 크고 말도 해요!
선생: 개미는 작고 말 못해요.
수호: 아닌데요. 저희 베르아찌좀 봐요.
베르: 키에에에에엑!
선생: 삐갸악!",나 혼자만 레벨업 후일담 1화,18.11.10,"1,857",47
짜릿해늘새로워역시귀여운게최고야,추공님그냥후일담말고 당당하게2부라고 이름고쳐도되요,나 혼자만 레벨업 후일담 5화,18.03.11,"1,856",81
200캐시뽑기권,"'없다...없어.'
추공은 모니터를 바라보며 손톱 끝을 잘근잘근 깨물었다.
'여기도..저기도..없다.'
어느 순간부터 추공 자신을 욕하는 댓글들이 자취를 감추었다.
하긴.
이용권도 뿌리고 나혼렙을 기무로도 만들고 오늘 연참도 한 추공이니까.
'한데 어째서..'
추공은 웬지 모르게 마음이 허전해졌다.
이젠 연참 독촉 댓글이 없는 것에도 불안해지는 추공이었다.",나 혼자만 레벨업 146화,17.01.01,"1,856",53
후공죽고남은그림자,"진짜 ""주말이 넘 길게 느껴졌다."" 하시는분은 좋아요를 누르시오.",나 혼자만 레벨업 222화,17.06.12,"1,837",61
관심없슴,주인공이 게이트만 들어가면 배신자가 나오네요!! 만렙 스킬은 배신어그로 인듯!!,나 혼자만 레벨업 32화,16.08.27,"1,827",78
추공,요즘 연재를 드문드문 한 덕분에 건강이 많이 좋아져서 이번주부터 주 5일제를 할 생각이었는데 시동이 늦게 걸려 화요일부터 시작하네요 ㅠㅠ 미뤄져서 죄송합니다 앞으론 월화수목금 뵙겠습니다!!,나 혼자만 레벨업 187화,17.03.28,"1,822",312
추공,조금 늦었지만 새해 복 많이 받으세요!!!,나 혼자만 레벨업 146화,17.01.01,"1,815",208
서민,추공. 그대의 죄는 세개다 첫째.혹한에군주를 살려보낸것 둘째.고건희 할아부지 죽인것 셋째.나의 캐쉬를 모두 없엔것이다 처벌받아 마땅하므로 군만두형에 처하지,나 혼자만 레벨업 201화,17.04.27,"1,809",297
초라한_나룻배,"고건희가 지배자인 게 아니라 그냥 사는 인간인데 지배자의 혼이 인간에게 들갔고 그걸 카미쉬는 힘을 빌렸다고 표헌한 것 같네요.그리고 혹한의 군주면 그림자 군주인 진우와 같은 편이 될 것 같은데 군주들이 지구 침략 하러 온 거면 진우는 지배자들 펀, 지구 편에 서겠네요
오늘 한 줄 요약:헐 추공님 10시 실화?",나 혼자만 레벨업 200화,17.04.24,"1,806",48
YU,허헣ㅎㅎㅎㅎ 김철이라니 엌ㅋㅋㅋㅋ,나 혼자만 레벨업 외전 16화,17.09.20,"1,797",35
후공죽고남은그림자,"'이 순간을 기다려왔다.' 하시는 분은 ""좋아요""를 누르시오.",나 혼자만 레벨업 197화,17.04.18,"1,787",39
조조,서울은 만남의 광장입니다.,나 혼자만 레벨업 225화,17.06.15,"1,783",45
밀튼,노마 셀너 부인 또 공포에 질리겠네 ㅠ,나 혼자만 레벨업 외전 15화,17.09.18,"1,782",57
200캐시뽑기권,"추공이 보낸 초대장에 응한 독자들은 추공에게 말했다.
""우리를 부른게 너냐?""
""그래.""
독자가 물었다.
""오늘 연참인가?"" 
허리를 숙이고 몸을 풀던 추공이 상체를 일으켰다.
""질문이 잘못되었군""
""..?""
""오늘 연참인지를 물을 것이 아니라 오늘 휴재인지를 물었어야지.""
멈칫.
당혹감은 오래가지 않았다.
쉭.
쉭 하는 소리와 함께 몸을 푼 추공이 뛰었다",나 혼자만 레벨업 156화,17.01.17,"1,772",95
추공,안녕하세요 시공간의 지배자 추공입니다. 9일날 올린 137화가 이제야 올라왔네요...는 죄송합니다. 날짜가 잘못 적혀져 올라갔네요. 담당자님께 연락해보겠습니다 ㅠㅠ,나 혼자만 레벨업 137화,16.12.19,"1,768",114
200캐시뽑기권,1,나 혼자만 레벨업 125화,16.11.26,"1,757",63
추공,여러분 침착하십시요!! 분명히 올라옵니다 제가 언제 거짓말하는것 보셨습니까?,나 혼자만 레벨업 176화,17.02.28,"1,753",75
200캐시뽑기권,추공님 원래 연참하려다가 도저히 안되서  44페이지짜리 반참한거죠 ㅋㅋㅋㅋ,나 혼자만 레벨업 155화,17.01.16,"1,737",78
추공,원고는 넘겼는데 출판사 쪽에 사정이 있나 보네요. 죄송합니다. 알아보고 오늘 늦게나 낼 두 편 올라오게 하겠습니다.,나 혼자만 레벨업 79화,16.09.12,"1,730",41
후공죽고남은그림자,내일은 현충일입니다. 내일하루를 길게 느껴지게 오늘 소설을 적절한곳에서 짤랐습니다. 항상 감사합니다.,나 혼자만 레벨업 220화,17.06.05,"1,729",238
200캐시뽑기권,"""추공, 받아라.""
독자는 말없이 군만두와 우유를 건넸다.
""또 군만두인가..."" 
그나마 군만두라도 먹으니 저금은 살것 같았다.
그때였다. 추공의 전화가 울렸다.
""지금 연참중이네.""
""지금 댓글창이 난리가 났습니다.""
""무슨 일인가?""
""글이 11시에 올라왔습니다.""
추공은 눈물을 삼키며 기껏 모은 비축분을 풀 수 밖에 없었다.",나 혼자만 레벨업 78화,16.09.09,"1,727",50
루티아,"""응 넌 내 앞""
추공을 바라본 독자가 이야기 했다.

끠에에에에에

그의 외침은 들리지 않은 채 독자는 군만두 하나를 건넨다.

씨익.

끼에에에에에에

추공이 기쁨에 겨워 연참을 하게 되는데...",나 혼자만 레벨업 228화,17.06.21,"1,723",29
200캐시뽑기권,"""추공님.""
""예?""
담당자가 최대한 밝은 미소를 지어보이며 말을 이었다.
""독자들이 몰려와서 난처하시죠? 댁까지 편히 모셔드릴테니 같이 가시죠.""
200캐시도 거들었다.
""저희와 같이 가시죠. 군만두도 드리겠습니다 .""
하지만 추공은 두사람의 친절을 웃으며 거절했다. 
""괜찮습니다.""
추공은 은신을 사용하였다.
""당신들 때문에 익숙해졌거든요.""",나 혼자만 레벨업 95화,16.10.11,"1,722",80
200캐시뽑기권,"<알아두면 건강에 좋은 추공학개론>
추공식 연재법 : 일부러 그러는 건지는 모르겠지만 연재 시간을 늦춤으로써 독자들과 밀당을 한다.(너무 일방적이긴 한데..)
추공식 연참법 : 하루 휴재를 한 뒤, 주말에 한번 휴재를 매꾼다.(엄밀히 말하면 연참은 아닌데 많은 독자들은 연참이라 생각함.)
추공식 휴재법 : 무작위(패턴을 모르겠다. 잊을만 하면 찾아온다..)",나 혼자만 레벨업 152화,17.01.10,"1,716",43
황제,ㅋㅋㅋㅋ ㅁㅊ 찬양하랬더니 다른 신 찬양하면 어쩌라곸ㅋㅋㅋㅋㅋㅋ,나 혼자만 레벨업 4화,16.12.31,"1,715",35
가희,"별건 아니고 작가 친구인데요. 작가 몸이 많이 아파요. 글쓸때마다 두통이 심하다 하고 몸이 아프다 하소연도 많이 합니다..솔직히 저도 독자로써 작품 보는데 휴재가 이렇게 많나 싶을 정도로 휴재가 잦은건 사실이지만, 작가가 정말 독자님들 사랑하고 더 좋은 작품을 쓰려는지 알아줬으면 좋겠네요. 정말 작품이 쓰기 싫어서가 아닌, 몸상태때문에 휴재니깐 기다려주세요",나 혼자만 레벨업 183화,17.03.19,"1,714",57
배고파,와 51장...말이필요없다,나 혼자만 레벨업 218화,17.05.31,"1,712",36
추공,어제 쓴 231화가 도지히 맘에 안 들어서 하루 늦었습니다 죄송합니다 더 분발하겠습니다 ㅠㅠ,나 혼자만 레벨업 231화,17.06.29,"1,711",137
200캐시뽑기권,"""감사합니다!""
감정이 격해진 독자들이 허리를 90도로 숙였다. 두편같은 한편을 올렸을 때, 가슴이 울컥했었다.그순간을 떠올리면 이까짓 ""감사하다.""라는 도는 골백번도 더 할 수 있었다.
""고맙 습니다. 노예... 아니 작가님.""
""독자분들.""
""네?"" 
""고맙다고 하지 마세요. 어짜피 내일은 연중하니까.""
독자들은 할말을 잃고서 눈을 동그랗게 떳다.",나 혼자만 레벨업 92화,16.10.06,"1,708",136
SaSa,그 S급 헌터 황동수 그놈 곧 주인공 그림자 노예되겠네 굿,나 혼자만 레벨업 54화,16.08.08,"1,696",97
200캐시뽑기권,"""추공님, 잠시만요.""
""네?""
""비축분 모으실 필요 없어요.""
""..?""
멈춰선 추공에게 200캐시가 다가갔다.
""비축분을 쉽게 만들수 있는 방법이 있으니까.""
""네?""
""그렇게 하려면 좀 붙어야 하는데 괜찮죠?""
그는 추공을 가볍게 안았다.
""후회할지도 몰라요.""
""네?""
'그림자 이동술'
추공은 비축분을 남기고 소리 없이 바닥의 독방 속으로 끌려갔다.",나 혼자만 레벨업 133화,16.12.12,"1,692",51
성진우,"단 한사람만이라도 기억하기만을
바랬는데 그게 우진철이라서
더 감동이고 한편으로 슬프네요..",나 혼자만 레벨업 외전 10화,17.09.01,"1,658",22
시로,조루된다주인공아 채력을려야 오래버티지 잠깐힘쓰고말텨??,나 혼자만 레벨업 12화,16.07.28,"1,654",84
상상,역시 숫자는 5의 배수로 맞춰야 마음이 안정되지 ㅎㅎ,나 혼자만 레벨업 17화,17.01.03,"1,651",191
라이더,"추공이 말했다
""저 만두는 왜 먹었어?""
얼른 독자가 달려와 머리를 박으며
""연참..연참이 그리웠습니다...""",나 혼자만 레벨업 232화,17.06.30,"1,650",37
200캐시뽑기권,"추공이 댓글을 보자 200캐시의 글이 보였다.
<작가님, 연참좀 해주시죠>
오늘도인가..
-죄송합니다 제 글쏨시가 미숙해서요
추공은 좋아요만 눌러주고 바람을 쐬러 나가려 했다.
띠링.
그는 무심코 알람을 눌렀다.
<작가님 저라면 그리로는 안나갈겁니다.>
관심 없었던 추공은 무시하고 현관문을 열었다.
그러자
독자들이 들이닥치고 그에게 군만두를 건네기 시작했다",나 혼자만 레벨업 93화,16.10.07,"1,648",106
릴파는700,"-추공님 저 담당자입니다. 혹시 언제쯤 올리실 예정이십니까?
 ""흐음...""
 왼손으로 턱을 괴던 추공이 살며시 웃으며 대답했다.
 ""지금요.""
 -네?
 어리둥절하던 당담자는 컴퓨터에 무언가의 알림음이 들린 것을 확인하고 메일을 확인해보았다.
 그리고 그곳에는 추공이 고심하고 고심하며 빚어낸 완벽한 소설 한 편이 있었다.",나 혼자만 레벨업 233화,17.07.10,"1,646",65
